v,d,s,r,p
8,0.035,18.445,0,1.215
12,0.041,18.069,0,1.398
24,0.039,20.148,0,1.742
4,0.051,17.132,1,1.064
8,0.043,18.434,1,1.184
12,0.061,26.245,1,1.335
24,0.073,35.132,1,1.396
4,0.038,20.958,0,1.115
8,0.043,24.363,0,1.186
12,0.032,15.848,0,1.361
24,0.044,14.294,0,1.688
4,0.091,35.362,1,1.000
8,0.021,11.189,1,1.262
12,0.040,13.944,1,1.402
24,0.093,37.751,1,1.329
4,0.022,13.004,0,1.162
8,0.068,37.280,0,1.097
12,0.048,21.820,0,1.219
24,0.052,19.186,0,1.678
4,0.057,30.186,1,1.033
8,0.058,33.549,1,1.175
12,0.026,14.107,1,1.302
24,0.075,30.128,1,1.461
4,0.030,11.058,0,1.115
8,0.030,16.582,0,1.133
12,0.042,15.343,0,1.417
24,0.081,29.623,0,1.538
4,0.047,22.406,1,1.099
8,0.027,10.478,1,1.358
12,0.026,15.789,1,1.308
24,0.033,18.906,1,1.550
4,0.057,18.732,0,1.096
8,0.037,21.865,0,1.258
12,0.063,29.173,0,1.193
24,0.046,17.292,0,1.737
4,0.038,21.793,1,0.995
8,0.058,27.352,1,1.198
12,0.070,36.770,1,1.294
24,0.062,23.778,1,1.458
4,0.061,19.387,0,1.060
8,0.086,28.290,0,1.098
12,0.066,21.916,0,1.364
24,0.064,28.266,0,1.358
4,0.033,15.295,1,1.081
8,0.066,35.081,1,1.154
12,0.059,34.444,1,1.248
24,0.054,28.899,1,1.427
4,0.098,37.206,0,1.023
8,0.084,30.153,0,1.149
12,0.025,14.478,0,1.449
24,0.116,36.098,0,1.339
4,0.076,35.028,1,0.970
8,0.022,11.804,1,1.190
12,0.069,29.838,1,1.231
24,0.054,27.254,1,1.581
4,0.054,29.599,0,1.109
8,0.037,18.455,0,1.155
12,0.082,26.474,0,1.285
24,0.057,17.667,0,1.688
4,0.049,20.607,1,1.018
8,0.042,15.683,1,1.145
12,0.035,19.310,1,1.241
24,0.048,26.588,1,1.525
4,0.029,13.813,0,1.167
8,0.080,28.396,0,1.172
12,0.043,18.059,0,1.289
24,0.024,14.189,0,1.975
4,0.034,10.418,1,1.207
8,0.025,14.347,1,1.362
12,0.022,10.176,1,1.287
24,0.110,39.779,1,1.485
4,0.030,16.097,0,1.094
8,0.024,11.162,0,1.198
12,0.031,13.121,0,1.424
24,0.090,27.454,0,1.543
4,0.074,30.944,1,1.152
8,0.057,28.155,1,1.141
12,0.094,37.608,1,1.165
24,0.067,22.211,1,1.491
4,0.031,17.809,0,1.160
8,0.046,17.563,0,1.164
12,0.052,28.385,0,1.231
24,0.117,36.310,0,1.303
4,0.067,20.355,1,0.998
8,0.093,30.432,1,1.216
12,0.032,10.098,1,1.373
24,0.030,12.573,1,1.866
4,0.049,28.520,0,1.067
8,0.087,34.101,0,1.156
12,0.045,15.343,0,1.392
24,0.034,17.562,0,1.556
4,0.040,13.662,1,1.149
8,0.048,28.247,1,1.262
12,0.020,11.373,1,1.359
24,0.037,22.025,1,1.712
4,0.043,24.924,0,1.139
8,0.035,15.341,0,1.289
12,0.037,20.614,0,1.276
24,0.097,39.575,0,1.287
4,0.046,18.627,1,1.023
8,0.098,34.853,1,1.233
12,0.062,26.775,1,1.171
24,0.071,28.173,1,1.358
4,0.030,17.037,0,1.123
8,0.035,18.949,0,1.155
12,0.069,39.998,0,1.276
24,0.100,32.536,0,1.360
4,0.029,16.005,1,1.093
8,0.042,25.159,1,1.216
12,0.062,36.452,1,1.303
24,0.036,19.834,1,1.615
4,0.033,16.654,0,1.119
8,0.061,18.310,0,1.086
12,0.052,21.386,0,1.338
24,0.073,37.862,0,1.599
4,0.057,32.791,1,1.121
8,0.072,31.382,1,1.216
12,0.031,17.254,1,1.412
24,0.063,36.220,1,1.428
4,0.049,27.768,0,1.090
8,0.067,24.992,0,1.157
12,0.070,39.036,0,1.339
24,0.050,19.173,0,1.618
4,0.075,39.881,1,1.095
8,0.045,15.411,1,1.285
12,0.046,22.721,1,1.342
24,0.078,30.533,1,1.412
4,0.042,23.346,0,1.146
